id,interviewId,questionId,timecode
cmp1rwmfp1584tgtsmizli5i2,cmp1rwmfg157itgtsz0r0wfgz,cmp1rwmyt16dxtgtsi52tp3rs,00:29:49
cmp1rwmpy15ustgts88nj4wxy,cmp1rwmp815sztgtsqafgdalo,cmp1rwmyt16dxtgtsi52tp3rs,00:00:52
cmp1rwl1s12ggtgts9o1urmpv,cmp1rwl0o12dltgtsbukugb2e,cmp1rwmyt16dxtgtsi52tp3rs,00:00:15
cmp1rwmvz169wtgtstym3w0e2,cmp1rwmv81681tgtsf1ptiz2p,cmp1rwmyt16dxtgtsi52tp3rs,00:00:00
cmp1rwlsj13whtgtsk7cs0p78,cmp1rwlrp13udtgtsllh9y65e,cmp1rwmyt16dxtgtsi52tp3rs,00:05:13
cmp1rwlql13ritgts1q1skv4n,cmp1rwlp613o2tgtsn9z38b5y,cmp1rwmyt16dxtgtsi52tp3rs,01:30:17
cmp1rwn6c16v9tgtsba90fp3a,cmp1rwn5r16tstgts0amlxtxk,cmp1rwmyt16dxtgtsi52tp3rs,00:00:00
cmp1rwl3b12katgtsaua5nwab,cmp1rwl2m12ihtgts4kipo2hl,cmp1rwmyt16dxtgtsi52tp3rs,00:00:00
cmp1rwmrf15ydtgtscwwmyv6k,cmp1rwmqe15vxtgts6pjsj5n1,cmp1rwmyt16dxtgtsi52tp3rs,00:00:00
cmp1rwnye18ditgtsk26qhs7h,cmp1rwny218cqtgtsmpplqmgb,cmp1rwmyt16dxtgtsi52tp3rs,00:00:30
cmp1rwo8418sltgtsn8bhzr0m,cmp1rwo7718qbtgtswwfztbda,cmp1rwmyt16dxtgtsi52tp3rs,00:03:04
cmp1rwm3w14kgtgtsgf9ciyhd,cmp1rwm3214ibtgtssww4gaxf,cmp1rwlkp13g1tgts78mwxyav,00:56:21
cmp1rwn4c16q6tgtsgye7krfg,cmp1rwn3x16p4tgtso1dsjwy9,cmp1rwlkp13g1tgts78mwxyav,00:19:51
cmp1rwmk415j6tgtsey6am26v,cmp1rwmjg15hjtgts7at3jajo,cmp1rwlkp13g1tgts78mwxyav,01:11:44
cmp1rwmgr15astgtsbf9rgn39,cmp1rwmg31593tgtspfxzrjps,cmp1rwlkp13g1tgts78mwxyav,00:57:44
cmp1rwm5k14optgts9x68v0zs,cmp1rwm5314ngtgtsfncox3uq,cmp1rwlkp13g1tgts78mwxyav,00:42:03
cmp1rwlg3135ztgtst1tiuxwp,cmp1rwlft135btgts1femphpl,cmp1rwlkp13g1tgts78mwxyav,00:24:55
cmp1rwlpp13pctgtsikix54k8,cmp1rwlp613o2tgtsn9z38b5y,cmp1rwlkp13g1tgts78mwxyav,00:21:20
cmp1rwlyv149btgts48mnanjv,cmp1rwlyt1498tgts89d77oi3,cmp1rwlkp13g1tgts78mwxyav,00:06:46
cmp1rwmn215p2tgtswwgfvkyw,cmp1rwmmm15nytgtsfp8x4ag3,cmp1rwlkp13g1tgts78mwxyav,00:36:52
cmp1rwmzv16gntgtsl5git62v,cmp1rwmz016ehtgtsplx3mtj4,cmp1rwlkp13g1tgts78mwxyav,01:00:22
cmp1rwn7816xktgtsap7f2sx8,cmp1rwn6j16vqtgtsolvj7tq6,cmp1rwlkp13g1tgts78mwxyav,00:52:43
cmp1rwo8t18uatgtsvpnuqfce,cmp1rwo8618sstgtsp0m9wxd1,cmp1rwlkp13g1tgts78mwxyav,01:12:33
cmp1rwkov11mwtgtsx0691x2x,cmp1rwko711l7tgts37gksh0o,cmp1rwlkp13g1tgts78mwxyav,01:35:07
cmp1rwkvy124xtgtsq16yil4k,cmp1rwkva1237tgtsg2e56f4u,cmp1rwlkp13g1tgts78mwxyav,01:12:37
cmp1rwld9130ftgtsuzta25x3,cmp1rwlbx12x0tgtstmvtmqen,cmp1rwlrd13thtgtsaqi4l4pq,01:40:23
cmp1rwm4y14n3tgtswb4knsxh,cmp1rwm4114kttgtsb9bnpkcf,cmp1rwlrd13thtgtsaqi4l4pq,00:53:52
cmp1rwpap19abtgtszbfzuonv,cmp1rwp60199atgts0s16itaa,cmp1rwpap19aatgtscq2tqnpo,00:25:52
cmp1rwpar19aetgtsjezsabpr,cmp1rwp60199atgts0s16itaa,cmp1rwpaq19adtgtssop6gbtd,00:27:39
cmp1rwpas19agtgtshzz32lls,cmp1rwp60199atgts0s16itaa,cmp1rwpar19aftgtskzitvr5w,00:31:44
cmp1rwpav19aotgtszqx6rxss,cmp1rwp60199atgts0s16itaa,cmp1rwpav19antgtsciusjmtc,00:37:33
cmp1rwpax19astgtsvf2rtuaq,cmp1rwp60199atgts0s16itaa,cmp1rwpaw19artgtsvr41ltl3,00:39:08
cmp1rwpaz19aytgtswj2u0op1,cmp1rwp60199atgts0s16itaa,cmp1rwpaz19axtgtsmcsrn458,00:41:19
cmp1rwpb019b0tgts32u71j18,cmp1rwp60199atgts0s16itaa,cmp1rwpb019aztgtsa525olu7,00:42:01
cmp1rwpb219b5tgtsfj6al06c,cmp1rwp60199atgts0s16itaa,cmp1rwpb219b4tgtsu8wlb9ta,00:46:41
cmp1rwl0t12dztgts9rgizih1,cmp1rwl0o12dltgtsbukugb2e,cmp1rwlk713eptgtsk5tapovv,00:13:15
cmp1rwpb319b7tgtsysybhtra,cmp1rwp60199atgts0s16itaa,cmp1rwpb219b6tgtsstqkbb07,00:48:22
cmp1rwpb419bbtgtssf05o7ee,cmp1rwp60199atgts0s16itaa,cmp1rwpb419batgtsdv8e9sch,00:50:58
cmp1rwpb519bctgtsttx9hy2l,cmp1rwp60199atgts0s16itaa,cmp1rwp13198dtgtsa8u1uki0,00:53:49
cmp1rwpb519betgts2l9mu95u,cmp1rwp60199atgts0s16itaa,cmp1rwpb519bdtgtsw2ljnwyd,00:54:31
cmp1rwpb619bgtgtsmm544dn1,cmp1rwp60199atgts0s16itaa,cmp1rwpb619bftgtsecw6yawz,00:55:09
cmp1rwpb719bitgtsfc795oel,cmp1rwp60199atgts0s16itaa,cmp1rwpb719bhtgtscpicysx7,00:56:15
cmp1rwpb819bktgts4nm5pc3p,cmp1rwp60199atgts0s16itaa,cmp1rwpb719bjtgtsvbo6vpz2,01:01:32
cmp1rwpb919bmtgts895wrpem,cmp1rwp60199atgts0s16itaa,cmp1rwpb819bltgtsflymb9yl,01:06:14
cmp1rwpb919botgts0r7d7jxg,cmp1rwp60199atgts0s16itaa,cmp1rwpb919bntgtso4mxo9ad,01:08:33
cmp1rwpba19bqtgtsjohv1wld,cmp1rwp60199atgts0s16itaa,cmp1rwpba19bptgts4gul3g52,01:09:10
cmp1rwpbb19bstgts9gav6go3,cmp1rwp60199atgts0s16itaa,cmp1rwpbb19brtgtskvva3hlj,00:03:29
cmp1rwpbe19c0tgtsr3syw1k7,cmp1rwp60199atgts0s16itaa,cmp1rwpbe19bztgtsxr99kdx4,01:01:32
cmp1rwpbf19c2tgtsbcbhk8iy,cmp1rwp60199atgts0s16itaa,cmp1rwpbf19c1tgtsxscpke0w,01:06:45
cmp1rwpbg19c4tgtslu33tk9z,cmp1rwp60199atgts0s16itaa,cmp1rwpbg19c3tgtsgvn1jysn,01:10:56
cmp1rwpbh19c6tgtss4fygd18,cmp1rwp60199atgts0s16itaa,cmp1rwpbg19c5tgtsqkhcrmul,01:12:43
cmp1rwpbj19cbtgtspiafchmj,cmp1rwpbh19c8tgts7cnfy2mx,cmp1rwpbi19catgtsbms5enrj,00:01:20
cmp1rwpbm19cjtgtsrgf0sbot,cmp1rwpbh19c8tgts7cnfy2mx,cmp1rwpbl19citgtstp7igujp,00:04:45
cmp1rwpbm19cltgts1at6igdm,cmp1rwpbh19c8tgts7cnfy2mx,cmp1rwogu1904tgtsnfp629sj,00:07:48
cmp1rwnzf18g4tgtsj3bh55g0,cmp1rwnz818fmtgtsvefrp001,cmp1rwlk713eptgtsk5tapovv,00:17:45
cmp1rwksk11w7tgtsoh0fav7i,cmp1rwksg11vytgtsvifm9lb2,cmp1rwlk713eptgtsk5tapovv,00:06:00
cmp1rwmit15fxtgtsu7uh90xz,cmp1rwmid15estgtswe024ts4,cmp1rwlk713eptgtsk5tapovv,00:48:15
cmp1rwnb81750tgtsybbcz1kv,cmp1rwnaz174etgtswyh8szxp,cmp1rwlk713eptgtsk5tapovv,00:16:13
cmp1rwm0v14eetgtsluztpzg4,cmp1rwm0o14dytgtsy6kqk5a7,cmp1rwlk713eptgtsk5tapovv,00:11:12
cmp1rwktm11yxtgtslzkv3zwm,cmp1rwktb11y7tgts6h3qe8sk,cmp1rwniv17kntgts3fqua7h8,00:18:22
cmp1rwkqv11rwtgtsone50m8j,cmp1rwkqj11r1tgtsqnrps5mw,cmp1rwmzt16gftgts597znu0v,00:20:50
cmp1rwl5p12q7tgts5mi5eawl,cmp1rwl5e12pftgtsmnahe3bb,cmp1rwmzt16gftgts597znu0v,00:24:10
cmp1rwm6u14rztgtsoix98qdc,cmp1rwm6c14qotgtsu2sa71s0,cmp1rwn6516uqtgts3qtm8ab8,00:25:55
cmp1rwnmt17r4tgts7moclsea,cmp1rwnlo17putgtsr2npptn7,cmp1rwn6516uqtgts3qtm8ab8,00:49:50
cmp1rwn9g171mtgtss0x161hf,cmp1rwn96170wtgts6lxohwzr,cmp1rwn6516uqtgts3qtm8ab8,00:32:10
cmp1rwlvm144dtgtsoaeb13rx,cmp1rwlv71439tgtsj2x6bqbw,cmp1rwn6916v2tgts032uaifx,00:54:01
